Local Government Area,Average Household Consumption (kWh per customer per day) Annual,Residential General Supply (MWh),Residential Off Peak Hot Water (MWh),Residential Total (MWh),Residential No of Off Peak Customers,Residential Total number of Customers,Number of solar customers Res,Number of solar customers Non-Res,"Solar  Generation capacity (kWp) Res
 (kWp)",Solar  Generation capacity (kWp) Non-Res (kWp),Solar Energy exported to the grid (MWh),"Non-residential small sites
(0-160 MWh pa) MWh","Non-residential small sites
(0-160 MWh pa)Number of Customers","Non-residential med-large sites
(>160 MWh pa)MWh","Non-residential med-large sites
(>160 MWh pa) Number of Customers",Year
BAYSIDE,12.90,269303.00,31193.00,300496.00,15897.00,63900.00,2373.00,153.00,5986.00,2325.00,4840.00,130092.00,5809.00,235861.00,495.00,2016
BURWOOD,13.20,63531.00,4236.00,67766.00,2342.00,14058.00,584.00,27.00,1538.00,313.00,1196.00,38104.00,1807.00,93472.00,111.00,2016
CANADA BAY,13.80,180327.00,9447.00,189773.00,5537.00,37636.00,1268.00,69.00,3533.00,1117.00,2644.00,66357.00,2877.00,139326.00,247.00,2016
CANTERBURY-BANKSTOWN,15.60,630841.00,86489.00,717330.00,38166.00,126201.00,8423.00,427.00,21412.00,6764.00,16278.00,229914.00,11687.00,560717.00,771.00,2016
CENTRAL COAST,17.10,750526.00,175870.00,926396.00,81922.00,148370.00,16462.00,506.00,43243.00,7902.00,33672.00,227452.00,12031.00,542899.00,763.00,2016
CESSNOCK,19.50,142360.00,23377.00,165737.00,10907.00,23228.00,2973.00,144.00,9759.00,3056.00,7136.00,41834.00,1815.00,71243.00,148.00,2016
CUMBERLAND,13.60,102561.00,9804.00,112365.00,4208.00,22634.00,1595.00,91.00,3857.00,1903.00,3230.00,68861.00,2600.00,170033.00,241.00,2016
GEORGES RIVER,15.20,271564.00,43852.00,315416.00,19890.00,56750.00,3267.00,137.00,8194.00,1992.00,6482.00,93688.00,5446.00,171812.00,252.00,2016
HORNSBY,19.30,310228.00,53082.00,363310.00,21443.00,51511.00,4781.00,111.00,13012.00,1803.00,9499.00,78293.00,4080.00,157346.00,264.00,2016
HUNTERS HILL,22.60,42095.00,3233.00,45328.00,1458.00,5506.00,274.00,12.00,860.00,90.00,540.00,9263.00,436.00,16771.00,27.00,2016
INNER WEST,11.90,348985.00,14563.00,363549.00,9515.00,83393.00,3036.00,245.00,7356.00,4333.00,6058.00,175714.00,8818.00,228322.00,472.00,2016
KU-RING-GAI,23.30,333938.00,36749.00,370687.00,15723.00,43562.00,2741.00,70.00,8475.00,882.00,5120.00,57744.00,2619.00,96113.00,175.00,2016
LAKE MACQUARIE,17.90,435783.00,107728.00,543511.00,54139.00,83415.00,11058.00,309.00,30699.00,4981.00,25133.00,120799.00,6455.00,205383.00,407.00,2016
LANE COVE,16.60,87738.00,4848.00,92587.00,2531.00,15268.00,664.00,35.00,2008.00,367.00,1241.00,36942.00,1522.00,66926.00,155.00,2016
MAITLAND,18.70,185285.00,28097.00,213382.00,13311.00,31215.00,3966.00,142.00,12054.00,2286.00,9555.00,59391.00,2894.00,92100.00,196.00,2016
MOSMAN,18.40,89569.00,4443.00,94012.00,2032.00,14030.00,362.00,20.00,1196.00,155.00,757.00,22664.00,1231.00,19244.00,64.00,2016
MUSWELLBROOK,21.90,47720.00,10333.00,58052.00,4492.00,7252.00,686.00,59.00,2651.00,878.00,2373.00,30211.00,1348.00,26925.00,75.00,2016
NEWCASTLE,14.30,313018.00,55725.00,368743.00,30805.00,70509.00,6600.00,324.00,17189.00,4907.00,15267.00,169757.00,7774.00,289830.00,566.00,2016
NORTH SYDNEY,11.90,163674.00,5743.00,169417.00,2970.00,38914.00,383.00,60.00,1039.00,984.00,787.00,143467.00,6311.00,212432.00,428.00,2016
NORTHERN BEACHES,16.40,562962.00,67712.00,630674.00,33251.00,105181.00,6667.00,224.00,18928.00,3233.00,14174.00,211693.00,11234.00,322532.00,552.00,2016
PARRAMATTA,12.70,72016.00,6022.00,78038.00,2627.00,16818.00,1809.00,88.00,2548.00,1576.00,1725.00,58897.00,1726.00,287311.00,318.00,2016
PORT STEPHENS,17.80,169421.00,46757.00,216178.00,23729.00,33346.00,4414.00,128.00,12783.00,2375.00,10393.00,53777.00,2935.00,103781.00,204.00,2016
RANDWICK,13.10,271944.00,21584.00,293527.00,10775.00,61518.00,1814.00,86.00,5084.00,837.00,4016.00,77697.00,3465.00,196026.00,278.00,2016
RYDE,14.70,231969.00,23250.00,255220.00,10891.00,47713.00,2525.00,88.00,6584.00,1219.00,4749.00,115759.00,4448.00,444266.00,612.00,2016
SINGLETON,23.90,70209.00,14410.00,84620.00,6166.00,9687.00,1270.00,75.00,4913.00,1273.00,4015.00,31935.00,1694.00,50242.00,103.00,2016
STRATHFIELD,14.80,77597.00,4777.00,82373.00,2395.00,15208.00,641.00,40.00,1815.00,714.00,1318.00,38513.00,1554.00,124845.00,179.00,2016
SUTHERLAND,19.80,516586.00,112234.00,628820.00,43591.00,86846.00,6146.00,202.00,17137.00,2638.00,12861.00,143490.00,7466.00,246160.00,372.00,2016
SYDNEY,10.40,405503.00,9774.00,415278.00,5102.00,109526.00,776.00,490.00,1924.00,6014.00,1849.00,771729.00,31411.00,2321731.00,3078.00,2016
UPPER HUNTER,21.90,37246.00,8141.00,45386.00,3551.00,5673.00,597.00,75.00,2322.00,944.00,2028.00,24446.00,1261.00,13164.00,44.00,2016
WAVERLEY,13.30,159598.00,5826.00,165425.00,3520.00,34204.00,726.00,46.00,2035.00,535.00,1577.00,64697.00,3214.00,105802.00,182.00,2016
WILLOUGHBY,15.50,164958.00,9290.00,174248.00,5092.00,30747.00,1383.00,80.00,3924.00,1041.00,2794.00,120913.00,4979.00,293361.00,388.00,2016
WOOLLAHRA,19.40,187078.00,9150.00,196228.00,4241.00,27774.00,471.00,43.00,1775.00,437.00,1003.00,57119.00,2934.00,53273.00,118.00,2016
Total 2016,15.70,7696982.00,1047851.00,8744833.00,492265.00,1521699.00,100745.00,4607.00,275857.00,69893.00,214375.00,3573213.00,165956.00,13187622.00,12693.00,2016
BAYSIDE,12.50,268360.00,30183.00,298543.00,15697.00,65388.00,2494.00,177.00,6847.00,2928.00,5163.00,130413.00,5841.00,248121.00,504.00,2017
BURWOOD,12.90,63170.00,3983.00,67153.00,2274.00,14286.00,620.00,34.00,1786.00,397.00,1259.00,40330.00,1808.00,87270.00,113.00,2017
CANADA BAY,13.40,176632.00,9028.00,185660.00,5407.00,37853.00,1374.00,84.00,4274.00,1467.00,2783.00,66925.00,2888.00,136906.00,244.00,2017
CANTERBURY-BANKSTOWN,15.20,628550.00,83362.00,711912.00,37532.00,128596.00,8801.00,516.00,24117.00,12644.00,17715.00,229563.00,11796.00,551902.00,769.00,2017
CENTRAL COAST,16.50,729748.00,171483.00,901230.00,81620.00,149891.00,18016.00,608.00,53506.00,13174.00,38056.00,220440.00,11874.00,547894.00,750.00,2017
CESSNOCK,18.70,139001.00,22656.00,161657.00,10835.00,23649.00,3493.00,175.00,13613.00,3843.00,8931.00,42118.00,1808.00,71959.00,146.00,2017
CUMBERLAND,13.30,101142.00,9406.00,110548.00,4150.00,22837.00,1635.00,121.00,4170.00,2271.00,3535.00,69338.00,2601.00,151841.00,242.00,2017
GEORGES RIVER,14.80,266673.00,42284.00,308957.00,19649.00,57242.00,3474.00,151.00,9726.00,2495.00,6720.00,90536.00,5406.00,172013.00,245.00,2017
